index,weekid,week position,song,performer,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,year,decade
81737,1958-11-15,19,There Goes My Heart,Joni James,"['adult standards', 'deep adult standards', 'easy listening']",153880.0,False,0.339,0.4269999999999999,6.0,-8.569,1.0,0.0302,0.767,1.2e-05,0.1789999999999999,0.385,94.546,5.0,1958,1950
182099,1958-11-15,30,Fallin',Connie Francis,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",133533.0,False,0.5939999999999999,0.678,4.0,-7.621,0.0,0.0355,0.5829999999999999,0.0,0.535,0.876,139.199,36.0,1958,1950
240357,1958-11-22,1,It's Only Make Believe,Conway Twitty,"['arkansas country', 'country', 'country rock']",132026.0,False,0.461,0.466,11.0,-9.627,1.0,0.0598,0.86,2.8e-05,0.135,0.251,128.537,50.0,1958,1950
141743,1958-11-22,8,I Got Stung,Elvis Presley,"['adult standards', 'rock-and-roll', 'rockabilly']",109413.0,False,0.7309999999999999,0.8319999999999999,10.0,-10.336,0.0,0.054,0.901,0.53,0.219,0.974,96.557,37.0,1958,1950
42244,1958-11-22,21,The Day The Rains Came,Jane Morgan,['deep adult standards'],180013.0,False,0.457,0.331,10.0,-12.372,1.0,0.0306,0.7219999999999999,0.0,0.274,0.536,108.616,5.0,1958,1950
80167,1958-11-22,25,A Letter To An Angel,Jimmy Clanton,"['brill building pop', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'swamp pop']",174614.0,False,0.0,0.2869999999999999,3.0,-11.038,1.0,0.0,0.876,5e-06,0.112,0.0,0.0,7.0,1958,1950
126394,1958-11-22,29,Walking Along,The Diamonds,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",141400.0,False,0.548,0.8339999999999999,2.0,-7.264,0.0,0.124,0.763,0.0,0.0741,0.767,126.009,12.0,1958,1950
96452,1958-11-22,42,"Come On, Let's Go",Ritchie Valens,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",124586.0,False,0.6159999999999999,0.7239999999999999,9.0,-8.101,1.0,0.042,0.788,3e-06,0.128,0.809,81.402,55.0,1958,1950
88861,1958-11-22,43,Tunnel Of Love,Doris Day,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",131840.0,False,0.68,0.2429999999999999,5.0,-14.251,1.0,0.0632,0.6169999999999999,0.0,0.231,0.874,72.79699999999998,19.0,1958,1950
70192,1958-11-29,1,"To Know Him, Is To Love Him",The Teddy Bears,[],146066.0,False,0.2879999999999999,0.33,2.0,-10.211,1.0,0.0294,0.892,3e-06,0.123,0.39,174.252,30.0,1958,1950
